V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,label
65.1933,74.5533,20.4076,48.18897417,10.5135,11.2818,0.064920126,0.103545213,0.367905797,914.0624,1.143572638,6.6172,2.280193883,2.194405857,34.7017,1
17.3615,454.0493,59.8552,30.8569134,5.5157,2.7011,0.008908318,0.019076016,-0.057197286,1204.3083,26.15272818,-2.9417,0.4749,0.637994113,77.3166,1
2.5014,-287.064,92.9435,39.20441635,14.4015,3.8161,0.002756746,0.01066902,0.194004908,150.6083,-114.7613103,7.8605,0.7702,0.796875404,73.4638,1
-23.6699,-327.8413,524.6845,24.27268343,8.967061233,4.7491,-0.02016296,-0.083717617,0.037186434,2042.2846,13.85056665,3.143,0.1988,0.218341738,113.764,1
2.5553,-812.4244,85.1091,12.82837078,5.8836,9.749,0.056053668,0.060453892,0.205798625,540.6121,-317.9410634,12.247,0.7107,0.745554364,74.1145,1
39.8953,190.4936,37.8428,40.38708794,3.4461,4.1522,0.013379168,0.082590142,-0.046575351,336.8143,4.774841466,-1.6537,0.6206,0.696239698,59.7961,1
8.7826,1314.5057,69.1338,22.22074961,2.4447,0.4007,0.00324604,0.030825383,0.16126883,205.9668,149.6709881,10.5278,0.1919,0.199721917,84.952,1
-5.7313,-969.9601,132.8544,16.85718394,-16.02525721,-4.9113,-0.109555709,-0.773785646,0.05866627,1041.8833,169.2387237,3.7745,0.5076,0.523304602,87.5148,1
11.932,946.5619,64.3179,23.94719506,-12.5292,-0.4844,-0.01599853,-0.073547627,-0.070488013,582.6973,79.32968053,-4.3334,0.1247,0.147182882,82.985,1
-17.1397,-431.1457,-7614.3866,4.428516543,-92.39439597,-12.9461,-0.18063684,-0.886639842,0.041831545,656.1262,25.15483473,3.6381,0.3055,0.330548312,103.8888,1
22.6637,487.8462,24.7669,10.08261322,-36.6918,-8.7381,-0.1257532,-0.802068595,-0.140730095,355.6607,21.52546269,-8.16,0.4804,0.61578923,65.4443,1
46.0799,-692.7562,38.4866,41.41681259,0.6097,1.834,0.004716872,0.011737101,0.00711039,1977.9862,-15.03380465,0.0802,1.8146,2.27894256,40.1131,1
46.8021,112.4404,47.8807,70.85519332,-5.2782,-0.5451,-0.028496466,-0.619648958,0.178750482,220.0407,2.4024618,1.4568,2.7209,2.819942192,51.1457,1
14.2987,893.4882,65.1336,33.69818314,3.5435,4.415,0.014944696,0.036987951,0.111098003,1127.6837,62.48719577,5.5206,0.4001,0.430271163,76.4021,1
31.7642,245.3018,43.9893,33.53813369,-20.0456,-3.1188,-0.072077396,-0.406726533,0.10358474,1050.5579,7.722596517,4.4623,0.5311,0.56085972,68.0257,1
-0.7955,-1066.5892,108.3613,10.54534424,-174.5184,-21.2557,-0.295254362,-1.014836,-0.065670439,1666.7396,1340.846552,-5.4803,0.3193,0.327826429,93.7608,1
7.8579,3728.2224,64.4635,17.33794455,-101.3664,-12.7746,-0.16738098,-0.955690371,0.070345333,123.5186,474.4581739,4.4242,0.7621,0.912484127,77.1471,1
45.1971,136.0322,17.3661,14.14824102,-4.8251,-0.1687,-0.02299454,-0.088889407,-0.101067911,228.3546,3.009757287,-4.4461,0.9369,1.232744235,53.4897,1
18.3587,604.9368,16.1957,11.26353359,-105.755,-30.4353,-0.416648583,-2.931087511,-0.00202917,3908.9054,32.95089709,-0.1578,0.3241,0.328451297,81.3249,1
-6.2912,-568.5004,154.9408,9.696349398,-284.2454,-35.5538,-0.42916826,-0.701528477,-0.013565721,6107.3553,90.3648365,-1.2012,0.4689,0.539606481,106.2912,1
26.0564,328.8169,8.3181,4.285196502,-96.701,-37.7485,-0.486527609,-2.847416878,-0.001078543,882.9449,12.61943095,-0.0761,0.3632,0.375980792,72.9521,1
-135.4548,-148.8193,-275.6677,37.50457246,-120.28599,-96.7884,-2.070981892,-2.614256199,0.095484121,813.8609,1.09866388,12.3762,0.2288,0.23770123,229.0134,1
15.3688,1825.6163,65.129,17.04809186,-508.3259,-19.0492,-0.432132318,-3.109944795,-0.009320679,103.5197,118.7869239,-0.5229,0.8423,0.903722854,84.8012,1
-89.2448,-189.8303,-157.4374,7.368096881,-104.0054114,-43.9789,-1.028509449,-5.439108181,-0.053087882,722.3986,2.127073045,-7.2584,0.375,0.440278541,191.3019,1
12.6564,698.4947,37.356,19.34554487,-33.4961,-3.2397,-0.061086511,-0.714866272,-0.126736854,1851.5561,55.18892053,-9.391,1.0634,1.071008269,81.6455,1
1.2419,12510.0672,94.0127,13.46469908,-183.2192,-17.9433,-0.289864131,-1.526584205,-0.043906704,2993.1529,10073.5226,-3.512,0.6674,0.673945727,99.4873,1
20.0258,446.261,24.1558,3.984105371,-116.9204,-40.6484,-0.563787159,-5.46668429,0.002396273,1096.7059,22.28427718,0.1764,0.406,0.654986482,80.0015,1
42.1567,263.2387,36.3261,54.1002981,1.3711,6.1438,0.003873386,0.004371162,-0.566298636,558.5792,6.244291301,-18.9583,0.8762,0.994383535,57.5281,1
-15.7317,-219.3512,-207.2619,10.42189264,-45.58979106,-6.1577,-0.111943855,-0.413742502,0.012380956,181.3662,13.94328169,0.9037,0.5836,0.716260301,83.6002,1
3.1327,-2623.5147,81.2941,26.6661959,-200.6018,-8.6491,-0.172339989,-33.88016284,-0.000304931,4177.164,-837.4539097,-0.0253,0.0539,0.054508301,96.6901,1
43.0834,137.246,33.4254,21.91505164,-45.9112,-19.7523,-0.256881969,-4.62050038,-0.083270415,22.7135,3.185592191,-2.9346,1.8592,1.917208082,56.8727,1
25.5595,1771.9204,28.6865,7.517187204,-67.7528,-20.9863,-0.27895336,-1.014448422,0.068333488,924.9734,69.32543194,4.2851,0.3535,0.371204331,72.9906,1
9.6084,-229.9272,74.2372,41.35542668,-12.0773,3.2006,-0.010992665,-0.069481799,0.066151976,818.7931,-23.92978754,3.0715,0.3098,0.333608183,74.118,1
21.384,366.6417,13.7845,10.1457466,-62.7884,-16.1528,-0.223425227,-0.685194421,-0.078756896,791.5272,17.14563037,-5.6486,0.7445,1.131272541,75.1412,1
-8.1113,-996.5309,287.8485,7.293800336,2.128124902,-9.9626,-0.1570071,-3.085085445,-0.007441998,4113.7246,122.8566868,-0.6569,0.6464,0.67337097,100.703,1
-0.385,-24625.2339,279.325,32.21447639,-213.2276,-0.9232,-0.077110892,-12.22004411,-0.002352008,435.0255,63964.18314,-0.2341,0.0331,0.218078605,100.1177,1
-41.2168,-195.618,650.1699,11.63223006,-148.5191474,-34.4182,-0.427475978,-5.645678599,0.048054623,3228.5103,4.746067709,4.4423,0.4316,0.446770272,141.1521,1
-184.864,-152.2417,-43.4486,3.817057202,-129.4704553,-113.6331,-3.199699345,-51.66614453,0.010458972,1228.9795,0.823533539,2.3939,0.87467458,0.122473696,284.8743,1
12.8545,1612.5445,54.069,24.02688611,-70.7407,-9.3721,-0.154265389,-0.382141033,0.081706581,1564.6455,125.4456357,5.7003,0.5257,0.539429378,84.8981,1
22.3413,-238.8186,57.1926,32.00779983,0.5853,4.2258,0.002618754,0.013161796,0.11230468,1700.7889,-10.68953881,4.854,0.1305,0.163083562,73.0708,1
-8.2897,-837.3608,232.1339,12.81425563,-5.285422672,-5.3186,-0.126420048,-1.436328613,0.023480912,2311.2018,101.0120634,2.2237,0.1635,0.173840719,109.2675,1
5.7843,-571.5037,73.8995,25.98925797,25.3257,3.5273,0.012341829,0.023102131,0.034330209,858.0142,-98.80275573,2.6722,0.4174,0.433591684,94.2157,1
26.1029,297.416,22.6801,15.20785525,-30.3892,-8.4482,-0.093639222,-0.409462259,-0.328977666,440.1948,11.39398913,-21.8101,1.931603772,0.442161819,73.9534,1
16.619,585.7537,69.3291,48.01876569,6.0974,3.1236,0.001186052,0.001580583,0.166742223,6300.6163,35.24597048,6.9166,1.107703982,1.059031635,79.0467,1
29.4364,448.8923,30.9727,20.45011938,-8.9673,-1.93,-0.033332942,-0.070712932,0.114050947,6306.8875,15.24954778,6.354,1.105390535,0.522621877,68.9204,1
3.0037,-1506.7702,89.6534,27.40546868,-26.1873,1.2336,-0.013231417,-0.042822139,0.030715226,517.0227,-501.6437997,2.0706,0.2701,0.293740795,93.4393,1
42.302,151.4035,17.2911,15.5409118,25.3514,16.4729,0.112331292,0.152428495,0.393177261,3566.4396,3.579108034,14.7059,0.5278,0.574579611,46.2463,1
44.4136,171.025,26.7296,32.69664721,4.1664,1.8973,0.018537667,0.055608744,-0.035551002,101.7384,3.850734986,-1.3293,1.4044,1.498633739,53.5932,1
30.989,305.5933,7.3773,13.12450259,2.5448,7.1565,0.006758093,0.010307553,0.145305126,2196.3601,9.861336764,10.1538,0.2206,0.278395574,72.3472,1
10.7647,-607.753,67.5744,11.85666712,-215.8109,-39.9093,-0.417474579,-0.387937461,-0.290027528,312.0366,-56.4578815,-19.5623,0.7035,0.919775891,89.8834,1
27.3713,349.1858,23.8853,17.14044518,1.2861,2.5892,0.00434028,0.008018257,0.092879016,1274.9016,12.75735174,5.9181,0.6092,0.656222967,72.3078,1
0.213,3.7506,0.5873,0.534359124,5.96,4.52,0.02286604,0.134745842,-0.029910602,5.1261,-0.434050391,-0.99,1.46,1.1458266,0.634964108,1
0.3602,2.2799,0.4073,0.354388897,0.54,1.98,0.000275676,0.003644501,0.035789334,1.8879,50.96891367,1.41,0.78,0.657015474,0.640099341,1
0.0772,16.566,0.5873,0.408650846,-10.56,-0.66,-0.008620194,-0.702883878,-0.008895081,0.6896,0.776505842,-0.67,1.05,0.140288955,0.862336252,1
-0.244,-3.5288,-3.6731,0.920364748,-20.35661595,-4.65,-0.069601644,-0.697171796,-0.04848562,5.3627,0.639674357,-4.45,0.57,0.326746667,1.110018916,1
0.4627,-7.1042,0.3881,0.26831676,0.08,0.73,0.000485656,0.002121393,0.039867248,24.9028,8.6390769,0.42,2.73,2.611289051,0.398724607,1
-0.0473,-5.8265,1.779,1.244725036,-349.34,-15.01,-0.211380202,-1.324597962,0.009619468,6.0811,-0.042516514,0.9,0.23,0.17951897,1.042217685,1
0.0729,-89.0225,0.7736,0.486886321,-72.61,-6.45,-0.083741634,-0.54422813,0.077174521,6.942,-0.51558544,4.32,0.87,0.414677405,0.808419462,1
0.2953,2.6531,0.5593,0.518425392,-12.26,-1.23,-0.03856524,-0.597185226,0.04390556,13.8564,-0.373007942,1.44,2.24,0.720304403,0.702446956,1
0.0876,-3.8093,0.7484,3.462840886,-29.95,0.58,-0.028204509,-0.231619379,0.020763411,2.7168,-0.470979742,1.33,0.37,0.358989029,0.90030968,1
0.4529,1.5141,0.1749,0.33281193,-4.03,-0.38,-0.018549927,-0.265496902,0.027037368,1.2669,-0.639253034,1.19,1.24,1.151065219,0.534593964,1
0.04,-15.925,0.067,4.763370043,-93.52,-2.91,-0.072125215,-0.303433815,-0.011810689,70.9327,0.155983267,-1.13,0.49,0.408464479,0.955425157,1
0.1186,13.1792,0.2455,2.543200405,-52.1,-4.11,-0.08384666,-2.122570928,-0.001032917,19.82,0.010321615,-0.09,1.08,0.288064453,0.876464968,1
0.3413,5.4528,0.0179,6.7292514,-5.52,0.78,-0.017817478,-0.081261237,0.070097456,25.5629,-2.650449944,4.72,0.48,0.199193346,0.679931489,1
0.1682,88.3991,0.7324,0.451499884,11.44891371,12.54,0.095733753,0.135333483,-0.005961225,10.3106,-0.019692689,-0.19,1.37,1.12786385,0.776544202,1
0.0924,-29.8222,0.788,1.47467462,-65,-7.36,-0.092514561,-0.540334075,-0.160004381,1.7295,0.980021604,-9.07,0.97,0.733097952,0.910164399,1
0.1352,19.5769,0.627,0.709408914,-29.5,-2.81,-0.046789573,-2.550983064,0.000891904,1.1655,-0.012152557,0.06,0.19,0.160012352,0.864788139,1
-0.118,-9.2985,3.2153,0.597209673,-23.65694192,-11.34,-0.138912799,-2.550203547,-0.067581039,18.7544,0.468639226,-6.51,0.66,0.604300367,1.134534079,1
-0.4409,-3.0129,-0.5142,13.50634351,1.695444976,-1.03,-0.011340547,-0.144248092,-0.000527877,50.3004,0.059887942,-0.07,0.64,0.585867343,1.436303398,1
-0.0301,-8.7307,1.2882,3.068901369,-14582.48,-0.9,-0.061029849,-302.8019665,-8.40E-05,-478.9168,0.00123033,-0.01,0.93,0.047255714,1.028347614,1
-1.235,-1.7073,-0.8877,30.56663389,3.440601677,-0.5,-0.084464634,-0.916372038,0.006672545,2.5616,-0.130294256,1.1,0.44,0.29744771,2.23010563,1
0.4027,1.5441,0.3581,0.477507667,-8.09,-1.28,-0.034066811,-1.135329278,-0.003415663,19.2445,0.037319621,-0.13,1.87,1.834258919,0.596918252,1
0.0862,-2.2821,0.7655,0.652076075,-9.29,0.99,-0.006637049,-0.057200867,0.053957565,10.0363,-3.81018927,2.53,0.38,0.358888692,0.750192175,1
0.3159,2.8732,0.4999,0.675175205,-0.75,-0.24,-0.002402411,-0.053596235,0.020573928,13.3042,-3.100552363,0.74,1.59,1.444873252,0.677891861,1
